Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
A5,853,Sapiens,4,26.98,16.5,27.92,19.84,6.26,18.4,4.93
A5,4488,Sapiens,7,27.39,15.01,15.3,1.77,3.17,9.59,3.49
A5,117,Sapiens,9,27.83,16.31,13.67,5.07,2.89,15.08,4.29
MDF-61,25,Sapiens,7,68.05,17.37,38.67,16.34,9.09,16.76,4.69
MDF-61,32,Sapiens,6,52.44,30.02,43.01,7.63,7.19,23.44,5.49
MDF-61,81,Sapiens,5,55.77,25.46,28.29,20.07,8.35,24.52,6.29
MDF-61,92,Sapiens,5,47.53,26.31,31.55,28.19,6.11,25.84,9.01
MDF-61,164,Sapiens,4,59.34,38.54,40.38,34.33,7.52,35.64,8.46
MDF-61,601,Sapiens,6,57.18,40.51,57.81,41.77,8.59,38.3,6.63
MDF-61,808,Sapiens,6,42.53,33.09,26.57,7.87,8.16,35.2,8.71
MDF-61,812,Sapiens,6,38.95,31.6,44.18,34.47,6.87,NA,NA
MDF-61,813,Sapiens,6,36.9,26.53,43.74,29.63,6.68,22.87,8.13
MDF-61,815,Sapiens,6,50.17,46.06,38.19,30.99,10.91,39.13,8.98
MDF-61,832,Sapiens,4,44.08,20.12,40.95,33.78,6.41,18.5,9.94
MDF-61,833,Sapiens,9,75.51,46.75,45.18,45.97,9.03,37.66,11.62
MDF-61,842,Sapiens,11,69.84,43.08,59.1,40.7,15.22,29.38,7.14
MDF-61,843,Sapiens,6,41.93,34.21,42.1,40.37,7.03,36.28,11.15
MDF-61,848,Sapiens,7,45.88,30.57,59.04,57.26,7.75,32.12,9.38
MDF-61,853,Sapiens,7,48.82,22.96,43.57,25.08,7.7,16.67,8.88
MDF-61,856,Sapiens,9,47.56,20.6,43.87,47.07,8.11,19.25,8.71
MDF-61,868,Sapiens,9,55.63,22.98,43.87,25.27,7.73,18.7,8.17
MDF-61,872,Sapiens,9,61.14,26.56,35.93,32.39,10.41,20.14,8.6
MDF-61,882,Sapiens,8,61.6,26.28,39.04,35.61,9.48,23.04,9.73
MDF-61,883,Sapiens,6,58.98,47.51,53.85,43.02,13.63,41.91,12.78
MDF-61,888b,Sapiens,5,51.94,37.24,34.19,26.3,9.21,24.78,5.94
MDF-61,895,Sapiens,6,48.48,33.99,36.35,18.28,9.45,20.52,5.45
MDF-61,899,Sapiens,7,67.18,38.84,44.84,23.91,9.12,37.57,8.1
MDF-61,911,Sapiens,4,57.54,41.43,53.87,39.57,6.99,37.73,7.19
MDF-61,915,Sapiens,6,56.79,36.33,54.99,13.77,10.6,36.14,12.4
MDF-61,919,Sapiens,5,42.42,30.15,38.88,32.56,8.03,21.74,8.78
MDF-61,923,Sapiens,5,53.98,39.25,50.17,36.61,11.1,35.75,11.82
MDF-61,925,Sapiens,6,63.29,42.88,50.07,34.58,12.1,17.75,11.97
MDF-61,927,Sapiens,10,45.1,25.16,36.32,31.72,10.81,23.95,10.39
MDF-61,928,Sapiens,3,57.18,42.44,49.17,38.78,10.24,24.48,5.57
