Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
Qafzeh XIX,744,Sapiens,8,46.15,35.05,25.93,21,4.34,34.65,8.78
Qafzeh XIX,779,Sapiens,7,59.48,26.83,18.23,17,5.62,13.5,2.79
Qafzeh XIX,277,Sapiens,8,35.2,25.08,27.27,25,6.31,24,5.96
Qafzeh XIX,325,Sapiens,5,47.16,17.35,19.53,7.17,4.41,10.3,3.19
Qafzeh XIX,17,Sapiens,4,29.88,22.3,33.45,13.72,2.59,15.93,2.96
Qafzeh XIX,27,Sapiens,4,28.07,12.94,14.4,10.81,3.27,10.98,1.58
Qafzeh XIX,2567,Sapiens,5,29.75,19.64,28.88,10.39,4.21,14.71,2.17
Qafzeh XIX,71,Sapiens,6,30.04,18.17,18.97,11.26,3.41,14.57,5.18
Qafzeh XIX,501,Sapiens,9,38.04,33.97,39.38,8.74,5.68,31.13,6.69
Qafzeh XIX,7,Sapiens,7,24.63,17.9,20.92,13.06,2.56,11.03,3.6
Qafzeh XIX,40,Sapiens,6,33.65,16,26.07,14.87,2.27,7.68,1.83
Qafzeh XIX,360,Sapiens,6,43.93,26.54,29.65,18.17,8.07,20.69,5.35
Qafzeh XIX,5,Sapiens,6,55.23,38.88,36.71,15.83,7.02,42.37,5.53
Qafzeh XIX,274,Sapiens,7,67.07,28.54,36.89,30.99,8.05,17.65,7.56
Qafzeh XIX,31,Sapiens,6,65.23,43.86,42.88,19.91,8.52,30.14,11.84
Qafzeh XIX,21,Sapiens,6,52.11,28.22,28.86,10.68,9.51,27.28,5.57
Qafzeh XIX,739,Sapiens,5,36.9,44.38,30.26,12.62,4.79,20.88,4.84
Qafzeh XIX,449,Sapiens,13,80.35,50.06,44.97,27,10.48,31.53,4.67
Qafzeh XIX,410,Sapiens,3,71.22,32.32,49.1,13,10.75,20.84,11.92
Qafzeh XIX,B11,Sapiens,4,27.3,17.71,23.58,8,6.26,14.32,4.03
Qafzeh XIX,404,Sapiens,3,27.32,33.93,38.23,31.3,8.71,38.02,8
Qafzeh XIX,755,Sapiens,7,31.02,18.17,32.76,21.33,6.94,4.61,2.39
Qafzeh XIX,446,Sapiens,8,66.23,30.97,37.39,13.04,6.65,18.14,7.14
Qafzeh XIX,24,Sapiens,5,38.28,21.21,35.31,17.88,9.14,22.8,4.52
Qafzeh XIX,616,Sapiens,4,54.48,30.01,35.1,19.65,6.72,16.13,4.63
Qafzeh XIX,23,Sapiens,7,34.28,30,40.8,14.06,9.56,15.5,2.12
Qafzeh XIX,2653,Sapiens,6,25.8,18.3,22.03,14.3,4.75,13.09,3.77
BNS,675/678 (conjoin),Sapiens,5,18.91,20.49,22.92,12.68,4.34,19.71,5.35
BNS,1182,Sapiens,8,38.37,17.33,30.8,19.95,8.74,10.58,3.85
BNS,1166,Sapiens,8,47.67,22.32,34.26,26.7,9.35,12.38,4.47
BNS,1172,Sapiens,7,42.8,33.33,39.83,33.03,10.59,31.92,8.5
BNS,1043,Sapiens,9,52.43,25.17,29.6,13.94,6.32,17.37,5.49
BNS,977,Sapiens,5,30.06,10.57,15.36,1.34,3.04,10.56,3.22
BNS,907,Sapiens,8,44.94,15.33,22.78,15.53,7.06,15.15,6.75
BNS,943,Sapiens,5,36.43,22.25,25.52,21.84,6.14,21.69,3.6
BNS,838,Sapiens,7,30.3,28.65,33.78,32.95,7.34,28.85,8.4
BNS,837,Sapiens,7,26.56,16.91,19.03,22.93,5.49,12.4,4.12
BNS,2803,Sapiens,7,39.67,16.61,24.32,5.39,5.78,14.97,5.56
BNS,524,Sapiens,13,39.76,23.98,29.61,5.28,7.11,22.22,9.67
BNS,11,Sapiens,13,36.11,18.31,28.44,14.97,8.71,17.04,8.7
BNS,1015,Sapiens,8,37.83,11.9,24.78,23.05,6.07,9.2,4.78
BNS,155,Sapiens,8,30.23,33.14,33.99,28.63,8.48,30.32,10.06
BNS,812,Sapiens,16,48.94,37.38,52.72,37.38,14.98,34.08,7.35
BNS,20,Sapiens,4,42.55,30.9,28.43,1.24,6.96,26.52,8.99
BNS,50,Sapiens,4,28.98,19.38,20.24,7.77,4.05,18.26,5.87
BNS,454,Sapiens,6,30.53,22.22,30.04,17.91,9.34,20.96,9.87
BNS,432,Sapiens,6,26.22,26.91,27.72,9.62,7.6,28.55,6.73
BNS,122,Sapiens,9,46.72,24.76,21.22,3.3,5.42,26.57,6.83
BNS,229,Sapiens,5,23.69,25.96,22.19,14.84,6.74,26.28,9.65
BNS,185,Sapiens,7,26.94,16.14,19.22,17.52,4.7,11.43,4.72
BNS,166,Sapiens,3,24.08,14.77,23.35,14.07,5.36,17.46,5.96
BNS,161,Sapiens,8,32.2,23.67,31.3,21.15,6.59,28.4,2.9
BNS,176,Sapiens,3,19.82,20.19,23.63,21.81,6.17,17.58,5.84
BNS,366,Sapiens,4,51.72,38.7,41.76,38,9.14,47.06,10.82
BNS,367,Sapiens,10,45.1,29.99,36.41,17.82,5.16,28.53,8.7
BNS,96,Sapiens,5,21.04,14.87,20.52,14.87,4.43,14.86,3.97
BNS,243,Sapiens,9,18.77,16.27,16.87,2.63,3.14,15.89,4.46
BNS,255,Sapiens,9,37.7,14.14,28.68,20.84,4.62,12.03,4.25
BNS,734,Sapiens,11,18.58,10.39,14.73,6.9,3.02,9.76,3.64
1017,1,Sapiens,13,49.01,36.66,43.17,31.14,7.38,27.38,9.3
1017,2,Sapiens,15,50.28,43.47,43.44,30,12.16,42.19,12.4
1017,3,Sapiens,14,52.44,44.02,43.32,15.65,13.56,43.89,13.97
1017,4,Sapiens,9,80.55,43.73,47.08,18.42,9.94,41.72,12.59
1017,5,Sapiens,9,51.32,43.88,45.86,26.2,11.82,44.01,14.25
1017,6,Sapiens,12,85.53,57.03,75.43,47.66,14.63,37.57,11.68
1017,7,Sapiens,10,55.48,46.76,41.23,32.77,15.07,46.96,18.2
1017,8,Sapiens,8,45.8,32.11,36.7,21.52,11.97,21.25,11.44
1017,9,Sapiens,8,48.47,34.92,39.9,26.54,8.96,32.85,11.59
1017,10,Sapiens,8,50.09,48.17,61.52,48.02,10.17,40.54,11
1017,11,Sapiens,9,60.89,48.23,50.63,24.77,12.06,41.52,13.85
1017,12,Sapiens,9,57.94,52.22,47.03,15.88,11.81,50.3,13.21
1017,13,Sapiens,7,36.14,25.09,31.22,20.76,6.93,24.59,8.96
1017,14,Sapiens,7,61.77,41.34,51.29,32.36,9.3,35.02,14.59
1017,15,Sapiens,6,76.95,32.9,34.71,14.28,8.2,31.5,9.27
1017,16,Sapiens,16,55.49,51.28,59.21,29.83,10.78,43.3,12.12
1017,17,Sapiens,6,67.39,16.03,36.66,17.87,5.63,16.04,5.07
1017,18,Sapiens,7,39.07,16.64,18.31,11.88,3.48,14.22,4.9
1017,19,Sapiens,8,44.99,31.37,35.65,18.74,5.43,31.81,6.78
1017,20,Sapiens,15,78.15,59.01,62.97,31.32,14.15,59.38,12.71
1017,21,Sapiens,5,56.16,22.72,37.79,7.96,5.23,22.17,8.45
1017,22,Sapiens,4,42.65,26.18,40.47,19.29,6.07,22.46,7.65
1017,23,Sapiens,6,45.55,25.96,36.4,20.68,9.79,24.44,10.72
1017,24,Sapiens,15,43.86,30.49,36.46,20.35,6.25,29.19,8.65
1017,25,Sapiens,5,38.63,38.93,33.64,28.76,8.61,36.04,12.25
1017,26,Sapiens,5,37.64,29.8,36.23,22.74,10.96,24.27,10.29
1017,27,Sapiens,7,33.16,28.74,36.86,31.87,6.16,27.05,7.38
1017,28,Sapiens,9,35.5,20.43,19.11,17.58,3.35,19.8,4.97
1017,29,Sapiens,8,41.66,40.91,52.61,34.2,14.06,44.79,15.7
1017,30,Sapiens,7,36.29,25.13,35.3,23.13,4.9,20.53,5.65
1017,31,Sapiens,9,39.42,19.17,25.38,4.91,5.2,18.67,4.53
1017,32,Sapiens,7,35.53,17.4,34.7,25.23,6.36,14.17,1.74
1017,33,Sapiens,12,53.74,33.66,42.42,20.89,9.42,30.54,11.38
1017,34,Sapiens,6,33.39,12.22,23.41,3.5,4.2,9.22,2.93
1017,35,Sapiens,4,27.22,23.92,26.2,20.68,3.22,17.47,2.75
1017,36,Sapiens,8,34.4,35.59,29.15,29.05,7.41,33.29,7.62
1017,37,Sapiens,11,65.24,53.25,56.78,37.08,15.51,48.04,12.73
1017,38,Sapiens,11,48.48,40.15,60.66,26.76,6.52,38.41,5.37
1017,39,Sapiens,9,33.01,30.11,41.05,30.11,7.31,27.21,6.89
1017,40,Sapiens,8,25.03,23.09,27.96,7.21,3.83,16.35,3.18
1017,41,Sapiens,5,31.12,21.93,20.89,17.47,4.56,21.69,4.33
1017,42,Sapiens,7,68.57,20.4,22.55,22.39,4.73,15.58,9.24
1017,43,Sapiens,5,52.66,45.8,50.84,30.62,13.55,47.06,15.38
1017,44,Sapiens,6,73.02,25.59,21.86,24.44,4.89,26.07,7.02
