Site,ID number,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness,Weight,,,
A5,3027.00,9.00,28.49,25.45,25.55,9.69,7.53,25.18,8.54,6.00,,,
A5,104.00,3.00,38.11,18.63,22.66,2.42,4.77,10.66,3.91,6.10,,,
A5,1550.00,3.00,34.94,26.65,24.73,2.64,7.83,27.03,7.62,8.10,,,
A5,837.00,7.00,52.02,35.35,33.60,6.20,9.72,35.36,9.44,26.20,,,
A5,1677.00,6.00,33.78,33.07,35.16,28.69,10.98,32.84,8.53,20.50,,,
A5,901.00,7.00,23.97,11.90,19.93,17.15,3.83,9.42,3.78,2.50,,,
A5,878.00,4.00,25.02,13.32,18.77,23.75,5.95,10.40,5.63,4.00,,,
A5,853.00,4.00,26.98,16.50,27.92,19.84,6.26,18.40,4.93,6.00,,,
A5,4488.00,7.00,27.39,15.01,15.30,1.77,3.17,9.59,3.49,1.40,,,
A5,117.00,9.00,27.83,16.31,13.67,5.07,2.89,15.08,4.29,1.80,,,
MDF-61,25.00,7.00,68.05,17.37,38.67,16.34,9.09,16.76,4.69,29.60,,,
MDF-61,32.00,6.00,52.44,30.02,43.01,7.63,7.19,23.44,5.49,19.80,,,
MDF-61,81.00,5.00,55.77,25.46,28.29,20.07,8.35,24.52,6.29,17.70,,,
MDF-61,92.00,5.00,47.53,26.31,31.55,28.19,6.11,25.84,9.01,16.50,,,
MDF-61,164.00,4.00,59.34,38.54,40.38,34.33,7.52,35.64,8.46,24.80,,,
MDF-61,601.00,6.00,57.18,40.51,57.81,41.77,8.59,38.30,6.63,27.00,,,
MDF-61,808.00,6.00,42.53,33.09,26.57,7.87,8.16,35.20,8.71,11.80,,,
MDF-61,812.00,6.00,38.95,31.60,44.18,34.47,6.87,,,13.70,,,
MDF-61,813.00,6.00,36.90,26.53,43.74,29.63,6.68,22.87,8.13,10.30,,,
MDF-61,815.00,6.00,50.17,46.06,38.19,30.99,10.91,39.13,8.98,26.00,,,
MDF-61,832.00,4.00,44.08,20.12,40.95,33.78,6.41,18.50,9.94,13.60,,,
MDF-61,833.00,9.00,75.51,46.75,45.18,45.97,9.03,37.66,11.62,57.50,,,
MDF-61,842.00,11.00,69.84,43.08,59.10,40.70,15.22,29.38,7.14,74.70,,,
MDF-61,843.00,6.00,41.93,34.21,42.10,40.37,7.03,36.28,11.15,18.10,,,
MDF-61,848.00,7.00,45.88,30.57,59.04,57.26,7.75,32.12,9.38,21.80,,,
MDF-61,853.00,7.00,48.82,22.96,43.57,25.08,7.70,16.67,8.88,20.60,,,
MDF-61,856.00,9.00,47.56,20.60,43.87,47.07,8.11,19.25,8.71,20.90,,,
MDF-61,868.00,9.00,55.63,22.98,43.87,25.27,7.73,18.70,8.17,26.30,,,
MDF-61,872.00,9.00,61.14,26.56,35.93,32.39,10.41,20.14,8.60,26.90,,,
MDF-61,882.00,8.00,61.60,26.28,39.04,35.61,9.48,23.04,9.73,31.00,,,
MDF-61,883.00,6.00,58.98,47.51,53.85,43.02,13.63,41.91,12.78,41.60,,,
MDF-61,888b,5.00,51.94,37.24,34.19,26.30,9.21,24.78,5.94,22.00,,,
MDF-61,895.00,6.00,48.48,33.99,36.35,18.28,9.45,20.52,5.45,20.90,,,
MDF-61,899.00,7.00,67.18,38.84,44.84,23.91,9.12,37.57,8.10,36.70,,,
MDF-61,911.00,4.00,57.54,41.43,53.87,39.57,6.99,37.73,7.19,25.00,,,
MDF-61,915.00,6.00,56.79,36.33,54.99,13.77,10.60,36.14,12.40,30.50,,,
MDF-61,919.00,5.00,42.42,30.15,38.88,32.56,8.03,21.74,8.78,19.90,,,
MDF-61,923.00,5.00,53.98,39.25,50.17,36.61,11.10,35.75,11.82,35.20,,,
MDF-61,925.00,6.00,63.29,42.88,50.07,34.58,12.10,17.75,11.97,41.20,,,
MDF-61,927.00,10.00,45.10,25.16,36.32,31.72,10.81,23.95,10.39,25.40,,,
MDF-61,928.00,3.00,57.18,42.44,49.17,38.78,10.24,24.48,5.57,33.60,,,
MDF-61,936.00,6.00,47.76,39.90,37.47,33.97,4.82,27.27,4.98,14.40,,,
MDF-61,940.00,5.00,39.73,32.11,38.26,31.22,7.10,21.48,5.36,9.80,,,
MDF-61,941.00,9.00,52.64,48.62,59.08,54.65,12.09,42.47,10.43,48.50,,,
MDF-61,942.00,5.00,47.74,22.15,41.79,36.15,7.81,19.53,7.76,18.40,,,
MDF-61,952.00,9.00,72.09,62.43,55.97,46.71,11.50,38.29,10.96,61.80,,,
MDF-61,955.00,8.00,54.57,47.28,47.11,47.42,9.31,38.03,12.22,33.60,,,
MDF-61,959.00,6.00,50.11,27.41,47.51,41.19,11.18,30.01,7.54,29.80,,,
MDF-61,966.00,5.00,44.56,18.75,32.53,27.93,5.67,17.15,5.22,12.00,,,
MDF-61,968.00,7.00,58.61,27.86,38.68,34.70,8.23,12.62,5.79,23.00,,,
MDF-61,969.00,8.00,48.67,33.08,43.93,44.67,9.16,21.18,7.05,25.20,,,
MDF-61,972.00,5.00,45.03,22.83,40.99,31.23,7.40,20.99,7.67,17.90,,,
MDF-61,976.00,4.00,49.39,45.64,53.76,49.04,13.86,37.19,11.60,44.60,,,
MDF-61,984.00,8.00,53.90,26.99,41.62,15.09,13.04,25.55,11.99,37.00,,,
MDF-61,985.00,4.00,53.31,37.56,34.27,11.32,10.29,30.37,12.83,23.80,,,
MDF-61,986.00,7.00,55.18,30.29,43.81,43.32,8.58,21.94,5.73,24.20,,,
MDF-61,1009.00,2.00,24.70,22.51,28.17,23.30,6.90,21.93,10.47,6.60,,,
MDF-61,1027.00,5.00,25.07,25.18,24.48,16.76,6.99,23.25,7.24,4.30,,,
MDF-61,1035.00,7.00,49.59,32.53,47.12,42.68,12.00,33.41,13.08,29.50,,,
MDF-61,1205.00,6.00,58.14,40.92,55.68,53.06,7.15,22.97,4.48,32.00,,,
MDF-61,1207.00,7.00,62.07,44.64,51.86,57.19,11.13,29.42,6.52,39.90,,,
